Timestamp,What's the link to the job posting?,Do you have any additional information to include with the post to entice someone to click through? (Recommended),Would you like to include a salary range?,Salary range,Employer name,Job title,Working style,,Do you have anything about the total compensation available at your company you'd like to share?,"Starting November 1, 2023 changes to BC law will mean salary ranges will be mandatory for all job postings for companies of all sizes.
Timestamp,What's the link to the job posting?,Do you have any additional information to include with the post to entice someone to click through? (Recommended),Would you like to include a salary range?,Salary range,Employer name,Job title,Working style,,Do you have anything about the total compensation available at your company you'd like to share?,"Starting November 1, 2023 changes to BC law will mean salary ranges will be mandatory for all job postings for companies of all sizes. 

Please share what your organizational plan is to comply with this new law.","If you'd like to be contacted with questions about this job posting, please share the Slack handle(s) of who to reach out to",What type of role is this?,Visa sponsorship,Hiring process,,Comp low,Comp high
4/12/2024 7:26:02,https://workday.wd5.myworkdayjobs.com/Workday/job/USA-CO-Boulder/Software-Development-Manager_JR-0087330,"This is a backfill for my manager.

Workday won Employer of the Year at Viatech this year. It’s a very nice place to work.

https://workday.wd5.myworkdayjobs.com/Workday/job/USA-CO-Boulder/Software-Development-Manager_JR-0087330",,"$122,400 - $183,600 CAD",Workday,Software Development Manager,Flexible remote/office hybrid schedule,,"5 weeks vacation,  RSUs (mine is around 25% of my salary), annual bonus (mine is 10% of salary), along with what I consider a very comprehensive benefits package.",,@Glen Pierce,Full-time,,,,,
4/4/2024 9:04:47,https://careers.deloitte.ca/job/Multiple-Locations%2C-Canada-Data-Engineer%2C-Deloitte-Global-Technology/1151012700/,This is in the Global Cloud services area and reports to me. There is no consulting or externally facing component to this role. ,,"$69,000 - $114,000",Deloitte Global,Data Engineer,Fully remote,,"Our Total Rewards Package extends well beyond traditional compensation and benefit programs and is designed to recognize employee contributions, encourage personal wellness, and support firm growth.  Along with a competitive base salary and variable pay opportunities, we offer a wide array of initiatives that differentiate us as a people-first organization. Some representative examples include: $4,000 per year for mental health support benefits, a $1,300 flexible benefit spending account, 38+ days off (including 10 firm-wide closures known as ""Deloitte Days""), flexible work arrangements and a hybrid work structure.",,@Colleen Wtorek,Full-time,,,,,
2/21/2024 9:07:19,https://bcpublicservice.hua.hrsmart.com/hr/ats/Posting/view/108091,"
You get to work for one working for one of the ministries focused towards growth of B.C.’s tech sector and promotes B.C. internationally as a preferred place to invest and do business. 
At the BC Public Service, we’re not just about jobs; we’re about purpose-driven careers. You should try joining our team if you want to create a meaningful impact to the citizens of British Columbia. ",,"$86,200.00 - $122,100.01, annually",BC Public Service,Senior Product Manager,Fully remote,,https://www2.gov.bc.ca/gov/content/careers-myhr/all-employees/new-employees/when-you-start/first-month/total-package,,,Full-time,,,,,
2/9/2024 17:15:41,https://bcpublicservice.hua.hrsmart.com/hr/ats/Posting/view/110286,Are you a design virtuoso with a passion for crafting seamless digital experiences? Do you dream in wireframes and breathe empathy maps? Then you do not want to miss this amazing opportunity.,,"$78,729.94 - $89,687.19 TMA included",BC Public Service,User Experience Designer,Fully remote,,https://www2.gov.bc.ca/gov/content/careers-myhr/all-employees/new-employees/when-you-start/first-month/total-package,,digital.talent@gov.bc.ca,Full-time,,,,,
2/9/2024 13:34:33,https://bcpublicservice.hua.hrsmart.com/hr/ats/Posting/view/108091,"Amazing opportunity for a strategic thinker with a passion for shaping digital products. You get to work for one working for one of the ministries focused towards growth of B.C.’s tech sector, champions innovation across the economy, nurtures small businesses, supports economic development throughout the province, and promotes B.C. internationally as a preferred place to invest and do business.",,"$86,200.00 - $122,100.01, annually ",BC Public Service,Senior Product Manager,Fully remote,,https://www2.gov.bc.ca/gov/content/careers-myhr/all-employees/new-employees/when-you-start/first-month/total-package,,,Full-time,,,,,
2/9/2024 9:35:02,https://recruitment-recrutement.nrc-cnrc.gc.ca/job-invite/20994/,"Join the Canadian Astronomy Data Centre (CADC) development team at the National Research Council Canada and help build the Canadian SKA Regional Centre (SRC) of the Square Kilometer Array Observatory (SKAO).  Become part of a diverse team of twenty computer scientists and astronomers, developing advanced solutions to support world class science and deliver services for processing data from the world's largest radio telescope.

We are looking for enthusiastic and creative developers to help build the next-generation astronomy radio data and processing centre in the following areas:
      A) User Interface and User Experience (UI/UX) design and development
      B) Back-end web service design and development
      C) Cloud engineering design and development

Application process described in the job posting.  Job posting closes February 22nd, 2024",,"$89,548 to $112,660 per annum","CADC, National Research Council Canada",Software Specialists (3),Flexible remote/office hybrid schedule,,"NRC employees enjoy a wide-range of competitive benefits including comprehensive health and dental plans, pension and insurance plans, parental leave, flexible working hours, the possibility of a hybrid working model, vacation and other leave entitlements.  A variety of mentoring programs are available.",,@bmajor,Full-time,,,,,
2/6/2024 19:35:22,https://boards.greenhouse.io/changeorg58/jobs/5883879003,,,$178000 in Victoria,Change.org,Growth Engineering Manager ,Fully remote,,Salary varies based on CoL in location ,,@will,Full-time,,,,,
2/5/2024 15:53:41,https://attractive-crane-f0d.notion.site/Senior-Full-Stack-Developer-6da805a7a93b4f95897cd15dc311b530,Flexible working hours with an emphasis on async- first,,100-120k,Box Labs Inc.,Senior Full-Stack Developer,Fully remote,,Compensation package includes equity,,@Tasos Stamadianos,Full-time,,,,,
2/5/2024 15:32:31,https://attractive-crane-f0d.notion.site/Senior-Full-Stack-Developer-6da805a7a93b4f95897cd15dc311b530,,,100-120k,Box Labs Inc,Senior Full-Stack Developer,Fully remote,,,,@Tasos Stamadianos,Full-time,,,,,
1/29/2024 16:18:25,https://uvic.mua.hrdepartment.com/hr/ats/Posting/view/10615,"The Research Computing Services team at the University of Victoria delivers advanced computing infrastructure and services to support Canadian researchers and scientists in a dynamic and innovative public sector environment.
We are looking for someone with a devops/sysadmin background who has experience with Kubernetes, Openstack and other open source cloud technologies. ",,"$88,631- $97,733 at recruitment, up to $115,304, with additional $5,700 annual bonus",University of Victoria,Senior Advanced Research Computing Systems Administrator,Flexible remote/office hybrid schedule,,"The job includes union membership with a robust pension plan and extended health and dental benefits. There are annual union-negotiated and performance-based salary increases (typically ~4% per year), up to the current ceiling for this position of $115,304 (the ceiling also increases regularly). There is a 35 hour weekly work standard to support a healthy work/life balance. Up to 29 vacation days per year are provided, with university closures (including Dec 25 through to Jan 1) as additional free holidays. The employer also pays 7.65% above and beyond your salary into your pension, pays for your cell phone and mobile data, and there is an annual market adjustment bonus of $5,700. 
There is funding for professional development and travel/conferences, and funding to assist with relocation to Victoria, BC (one of the most beautiful and desirable cities in Canada).
",,@rptaylor,Full-time,,,,,
1/29/2024 10:00:51,https://grnh.se/0768bf891us,Cross-posted from another network I'm in! :),,"$142,700 - $178,400",Greenhouse,Senior Site Reliability Engineer,Fully remote,,,,,Full-time,,,,,
1/26/2024 10:44:22,https://atomiccrayon.com/career-opportunities#job1,,,$70K – $80K,Atomic Crayon,Senior Web Application Developer,Fully remote,,"4 weeks holidays
Extended health benefits
Life and long-term disability insurance",,info@atomiccrayon.com,Full-time,,,,,
1/15/2024 16:24:17,https://www.bench.co/careers/job?gh_jid=5601353,Bench is a bookkeeping company focusing on American small businesses (we have global aspirations).  We have a great company culture and are embarking on a significant rewrite effort to modernize our tech stack.  It's a great time to join.  ,,135000-169000,Bench Accounting,Senior Engineer,Fully remote,,"In addition, we offer an extended benefits package that includes paid vacation, paid flex days, stock options, and full health, dental, and vision 
You’ll get access to  Inkblot Therapy’s  Employee and Family Assistance Program (EAP) that offers counseling and support, for you and family members, as well as professional development coaching, financial advice, legal advice and much more",,@David Morgantini,Full-time,,,,,
1/12/2024 11:51:26,https://drive.google.com/file/d/1NODbH3Z5hUzNZp2YOQvMSeUElY7qtBL3/view,"This is a great opportunity to learn about the world of investing and work with a smart,
hard-working, yet fun team.",,"$50,000-$60,000 CAD annually",Cindicates ,Venture Associate,Flexible remote/office hybrid schedule,,,,,Full-time,,,,,
1/12/2024 11:49:42,https://drive.google.com/file/u/1/d/1NODbH3Z5hUzNZp2YOQvMSeUElY7qtBL3/view?usp=sharing,"This is a great opportunity to learn about the world of investing and work with a smart, hard-working, yet fun team! ",,"$50,000-$60,000 CAD annually",Cindicates ,Venture Associate,Flexible remote/office hybrid schedule,,,,@JohnAustin,Full-time,,,,,
1/8/2024 17:34:20,https://validmind.com/careers/technical-writer/,We're a small fully remote startup in the fintech and ethical AI space. There's a few of us in BC already. ,,"$85,000 USD to $170,000 USD base salary, depending on experience and location (paid in local currency)",ValidMind,Technical Writer,Fully remote,,"Total compensation includes base salary, equity incentive, paid time off, and benefits",,@Nik Richers,Full-time,,,,,
1/8/2024 8:41:05,https://www.linkedin.com/jobs/view/3781478640/,"Come work with a small, focused team on advanced electronics - for example, satellite tracking, RADAR, superconducting detectors, and experimental astrophysics.",,80k to 110k CAD,t0.technology,Embedded Instrumentation Developer,Flexible remote/office hybrid schedule,,,,@Graeme Smecher,Full-time,,,,,
1/8/2024 8:26:52,https://www.linkedin.com/jobs/view/3781478640/,"Come work with a dedicated team on cutting-edge instrumentation challenges - think: astrophysics, satellites, radar, and superconducting detectors.",,"CAD 80,000 - 110,000",t0.technology,CTO,Flexible remote/office hybrid schedule,,,,@Graeme Smecher,Full-time,,,,,
12/5/2023 14:38:24,https://boards.greenhouse.io/changeorg58/jobs/5797789003,"Change.org helps people make political change happen via petitions and associated tools. The software we create helps people make a real difference in their communities, and we have a strong team of smart and dedicated people making that happen.
We're also unionized under CWA in North America, with a successfully negotiated collective bargaining agreement in place.",,"Starting salary depends on location (there's a formula in the CBA if you're not in Victoria or Vancouver). $178,000 in Victoria, $192,500 in Vancouver",Change.org,Staff Software Engineer ,Fully remote,,"Unlimited vacation plan (minimum 2 weeks)
The usual healthcare plan, etc
18 weeks fully paid maternity/paternity leave ",,@Will,Full-time,,,,,
11/29/2023 10:54:00,https://www.jamf.com/about/careers/jobs/?gh_jid=4993600004,,,"$107,600 - $172,300",Jamf,"Manager, Software Engineering",Fully remote,,"Very comprehensive benefits package, Volunteer Time Off in addition to Paid Time Off, Matching RRSP contributions, New Employee set-up stipend, Apple hardware, RSUs",,@andrina,Full-time,,,,,
11/28/2023 8:36:49,https://www.jamf.com/about/careers/jobs/?gh_jid=5023121004,"At Jamf, we're not just building software; we're shaping the future of technology and empowering organizations to succeed with Apple products. As a Software Engineer II, you'll play a pivotal role in a dynamic and collaborative environment, contributing to the development of cutting-edge solutions that make a real impact.",,$84800 - $135600,Jamf,Software Engineer II,Fully remote,,"Very comprehensive benefits package, Matching RRSP contributions, New Employee set-up stipend, Apple hardware, RSUs",,@andrina,Full-time,,,,,
11/20/2023 22:21:55,https://irisdynamics.com/careers,"Iris Dynamics is the industry leader in innovative force-controlled magnetic linear motors with a diverse application across sectors such as aerospace, mining, testing and measurement, industrial automation, and VR simulation and entertainment.

We are seeking a proactive and driven Sales Operations Manager to join our team. Reporting directly to the Director of Sales, you will oversee the operational success of our sales department, ensuring it works efficiently with other key departments like marketing, manufacturing, finance, and engineering. Your contributions will be directly linked to our continued growth and efficiency.

Application Deadline: November the 30th, 2023.",,"$60,000 - $80,000",Iris Dynamics,Sales Operations Manager,Fixed office/hybrid schedule,,"Competitive benefits package including health insurance, paid time off, and professional development opportunities.

Participation in the company stock option plan, offering a stake in our continued growth and success.",,@Vlad Tucakov,Full-time,,,,,
11/14/2023 10:52:42,https://orbitapps.bamboohr.com/careers/26,"We’re Orbit, and we create Shopify apps that help merchants push the frontiers of their online sales. At Orbit, you’ll be joining a fun, creative, and collaborative team that builds awesome products to empower Shopify merchants. As a remote-first company, our team is located across Canada, the US, and beyond. We offer our employees flexibility in where they work and how they work. ",,"$90,000 - $110,000",Orbit Apps,Developer,Fully-remote,,"- Health benefits (health, dental, EFAP) (CAN & USA only)
- RRSP matching up to 4% (CAN & USA only)
- $1000 company-sponsored wellness allowance (CAN & USA only)
- $500 home office set up allowance
- $500 annual learning & development allowance
- Generous vacation policy—15 paid days off annually, plus 1 additional day for each year of employment 
- Paid parental leave (CAN & USA only)",,,,,,,,
11/1/2023 15:03:51,https://www.aslenv.com/assets/files/ASL_Remote_Sensing_Scientist_2023-0ct-30.pdf,"Great job for someone with a research-oriented mindset. We are a small team working on some very interesting, cutting edge projects in remote sensing. We focus primarily on advanced data processing methods, including deep learning applications, for customers in a variety of fields from environmental monitoring to defence. ",,"75,000-100,000",ASL Environmental Sciences,Remote Sensing Scientist,Flexible remote/office hybrid schedule,,,,@Dan Walters,,,,,,
10/30/2023 11:22:44,https://bcpublicservice.hua.hrsmart.com/hr/ats/Posting/view/106873,Remote in BC work option available ( for the locations mentioned in the posting),Yes,"$73,855.42 - $84,134.34 annually",BC Public Service,Digital Talent Analyst,Flexible remote/office hybrid schedule,,https://www2.gov.bc.ca/gov/content/careers-myhr/about-the-bc-public-service/what-the-bc-public-service-offers,,tasha.jose@gov.bc.ca,,,,,,
10/30/2023 11:09:54,https://bcpublicservice.hua.hrsmart.com/hr/ats/Posting/view/106873,"Apply by November 14 ,2023",Yes,"$73,855.42 - $84,134.34 annually",BC Public Service,Digital Talent Analyst,Fully-remote,,,,Tasha.Jose@gov.bc.ca,,,,,,
10/26/2023 14:28:11,https://uvic.mua.hrdepartment.com/hr/ats/Posting/view/10268,We deliver advanced computing infrastructure and services to support Canadian researchers and scientists in a dynamic and innovative public sector environment.,Yes,"$88,631- $97,733 at recruitment, up to $115,304 via annual performance increases",University of Victoria,Senior Advanced Research Computing Systems Administrator,Flexible remote/office hybrid schedule,,"Union membership, pension, health plan, work from home (but you must be located in or able to regularly travel to Victoria), professional development and travel funding, up to 25 vacation days per year, university closures (including Christmas to New Year's) are free holidays, 35 hours per week work standard",,@rptaylor,,,,,,
9/18/2023 9:10:09,https://jobs.ashbyhq.com/aurorasolar?departmentId=4e2f9c06-0854-4b2e-a6d5-e97643ef8d48,Aurora Solar is a green energy company.,Yes,91k - 172k,Aurora Solar,Various engineering roles,Fully-remote,,"Unlimited vacation, great benefits all around",,@liamworkman,,,,,,
8/31/2023 13:02:31,https://www.jamf.com/about/careers/jobs/?gh_jid=4964208004,Jamf is a market leader in the Apple device management and security space. Working at Jamf allows for a great work-life balance and opportunities to grow your career in a fully remote role. ,No,,Jamf,Systems Development Engineer II,Fully-remote,,"Comp plan, RSUs, WFH stipend to get set up, comprehensive benefits and group RRSP plan",Our company is on track to comply with salary ranges for Nov 1st,@andrina,,,,,,
8/23/2023 9:23:43,https://www.atomiccrayon.com/career-opportunities#job1,"If this sounds perfect for you, if you have a strong attention to detail, and if you enjoy working as an integral part of a small team, then we want to hear from you!",Yes,$60K – $70K,Atomic Crayon,Full-Stack Web Developer,Fully-remote,,$60K – $70K salary based on experience; flexible work schedule; ,,,,,,,,
8/15/2023 21:06:46,https://www.linkedin.com/jobs/view/3694372601,,No,,Well Health Technologies,UI/UX Designer,Fully-remote,,,Our company is on track to comply with salary ranges for Nov 1st,,,,,,,
8/14/2023 11:49:07,https://pixelunion.bamboohr.com/careers/28,"Pixel Union is a longstanding Shopify partner known for creating premium themes for the world's best brands and creators. Pixel Union’s expertise in design and development has factored significantly into the growth of platforms like Shopify, BigCommerce and Tumblr, establishing our reputation as a world-class partner for brands and platforms alike. Since 2009, Pixel Union’s digital products have been used by millions of people and organizations around the world, including the White House, Tesla, MoMA, the LA Lakers, the BBC, and more.",No,,Pixel Union Design Ltd.,Sr. Developer,Fully-remote,,"Some of our perks include:

Flexible work schedule with a fully remote culture and systems
Theme discounts
$150 work from home allowances each quarter
$1000 annual Health & Wellness spending account 
$500 yearly towards professional development goals
Yearly 2 paid days voluntary work time off 
Retirement (RRSP) with employer matching of up to 4%",Our company is on track to comply with salary ranges for Nov 1st,@grantstorry,,,,,,
8/11/2023 11:16:00,https://bcpublicservice.hua.hrsmart.com/hr/ats/Posting/view/102862,"Unleash Your Full Stack Potential: Seize Multiple Opportunities in Digital Innovation! 

As a Full Stack Developer, you'll harness your expertise in both front-end and back-end technologies to create cutting-edge solutions that reshape the way we interact with digital platforms. Your contributions will directly contribute to enhancing user experiences and transforming the digital landscape for the citizens of BC.  

Join us in our mission to push boundaries, pioneer new technologies, and deliver solutions that redefine the way we interact with the digital world. 

Apply Today! 

Closing Date: August 27th, 2023 
",Yes,"$88,636.83- $101,099.95 annually which includes a 9.9% Temporary Market Adjustment",Government of British Columbia,Full Stack Developer,Flexible remote/office hybrid schedule,,https://www2.gov.bc.ca/gov/content/careers-myhr/all-employees/new-employees/when-you-start/first-month/total-compensation,,tasha.jose@gov.bc.ca,,,,,,
8/11/2023 10:19:27,https://bcpublicservice.hua.hrsmart.com/hr/ats/Posting/view/102863,"Empower Change, Lead with Agility: Join Us as a Scrum Master!

As a Senior Scrum Master, you'll play a vital role in shaping the direction of our projects, fostering a culture of continuous improvement, and driving successful outcomes. Your expertise will be the cornerstone of our agile practices, helping us achieve new heights of efficiency and innovation.

Ready to make a meaningful impact on the citizens of BC?

Title: Senior Scrum Master
Compensation: $88,636.83- $101,099.95 annually
Location: Remote Opportunities and Hybrid
Closing Date: August 27th, 2023
",Yes,"$88,636.83- $101,099.95 annually which includes a 9.9% Temporary Market Adjustment",Government of British Columbia,Senior Scrum Master,Flexible remote/office hybrid schedule,,https://www2.gov.bc.ca/gov/content/careers-myhr/all-employees/new-employees/when-you-start/first-month/total-compensation,,samuel.robson@gov.bc.ca,,,,,,
8/11/2023 10:11:28,https://bcpublicservice.hua.hrsmart.com/hr/ats/Posting/view/102863,"Empower Change, Lead with Agility: Join Us as a Scrum Master!
As a Senior Scrum Master, you'll play a vital role in shaping the direction of our projects, fostering a culture of continuous improvement, and driving successful outcomes. Your expertise will be the cornerstone of our agile practices, helping us achieve new heights of efficiency and innovation.
Ready to make a meaningful impact on the citizens of BC?
Apply Today!
Title: Senior Scrum Master
Compensation: $88,636.83- $101,099.95 annually
Location: Remote Opportunities and Hybrid
Closing Date: August 25th 2023
Full details: LINK",Yes,"$88,636.83- $101,099.95 annually which includes a 9.9% Temporary Market Adjustment",Government of British Columbia,Senior Scrum Master,Flexible remote/office hybrid schedule,,"https://www2.gov.bc.ca/gov/content/careers-myhr/all-employees/new-employees/when-you-start/first-month/total-compensation

https://www2.gov.bc.ca/gov/content/careers-myhr/all-employees/new-employees/when-you-start/first-month/total-compensation",,samuel.robson@gov.bc.ca,,,,,,
8/1/2023 10:20:48,https://jobs.lever.co/twingate/2e30c68a-0207-49e6-beb0-07a02bc7bba5,"Company provides a Zero Trust Network Access service, this role is part of the team that builds the core functionality for both the clients and the backend of the network (SD-WAN).  We're a well funded startup, 3+ years of runway and a sales pipeline that's already full and continuing to grow every quarter.",Yes,"Posting doesn't include it but historically these roles have been $180K to $220K USD, for Canadians they bump it up slightly to make up for the lack of benefits and equity.",Twingate,Senior Engineer - Networking Team,Fully-remote,,"Company is US based, for Canadians we're contractors at this time but the company is working to setup in a way that we'll be able to get benefits and equity (which they offer in the US).",,,,,,,,
7/20/2023 22:59:40,https://www.linkedin.com/jobs/view/3669592608,"We are salonMonster, an online booking and management app for independent hairstylists. 

We're looking for a dynamic marketing director to join our small, friendly startup team.
",Yes,$60K-$80K ,salonMonster,Marketing Director,Fully-remote,,Medical benefits and a good vacation package.,,@Stephen Parslow,,,,,,
7/4/2023 11:46:11,https://rooof.bamboohr.com/careers/91,,No,,Rooof,Quality Assurance Engineer,Fully-remote,,"Three weeks (15 days) of paid vacation with an additional end-of-year holiday break, three professional development days per quarter, paid sick time off",Our company is on track to comply with salary ranges for Nov 1st,@Tristan Douville,,,,,,
6/28/2023 19:10:46,https://docs.google.com/document/d/1YzV91-Ek5EFYF_gJd14zcvO3tv0EZ4je-joBvfU8x2s/edit?usp=sharing,"SingleOps is an all-in-one business platform for outdoor service industries, including tree care, lawn care, and full-service landscaping. We are a fully remote team working across North, Central, and South America. The Tech Lead and Designer are in BC a lot and you will get to see them often if you'd like.",Yes,100k - 150k CAD depending on experience,SingleOps.com,Senior Software Engineer (Intermediate also considered!),Fully-remote,,"100,000 - 150,000 CAD, depending on years of experience ",,@Ben Vishny,,,,,,
6/26/2023 11:39:43,https://tula.bamboohr.com/careers/48,,No,,Hakai Institute / Tula Foundation,Web Designer / Developer,Fully-remote,,,Our company is on track to comply with salary ranges for Nov 1st,@Nate Rosenstock,,,,,,
6/7/2023 9:40:36,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?toggleLanguage=en&poster=1996568,"This is an UPDATED posting is for a pool of technically oriented positions that build/develop and support climate model development and simulations on high performance computing systems. Projects can range from developing supporting systems for configuration, sequencing, testing, and building; coordinating development flows; to working within the climate model source code itself.",Yes,"$89,861-$106,933",Environment and Climate Change Canada,Physical Sciences Specialist,Fixed office/hybrid schedule,,Compensation is controlled through a classification/step system,,@clintseinen,,,,,,
5/31/2023 9:08:34,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?toggleLanguage=en&poster=1989684,"This posting is for a pool of technically oriented positions that build/develop and support climate model development and simulations on high performance computing systems. Projects can range from developing supporting systems for configuration, sequencing, testing, and building; coordinating development flows; to working within the climate model source code itself.",Yes,"89,861 - 106,933",Environment and Climate Change Canada,Physical Sciences Specialist,Fixed office/hybrid schedule,,"This position uses a fixed GoC pay grid. This position is for a PC, level 3, which has salary ranges between $89,861 - $106,933",,clintseinen,,,,,,
1/13/2023 13:40:14,,,No,,,Test,Flexible remote/office hybrid schedule,,,,,,,,,,
1/11/2023 11:18:08,https://apply.workable.com/fluorescent-design-inc/j/0A01DBA722,"Fluorescent is offering four weeks vacation, remote work and the option of a four-day work week. We're a well run org without financial backers looking to 10x. That means no shotgun layoffs and no pie in the sky thinking. This is a great role for someone looking for a small team and a more meaningful relationship to their work product. Reach out to Angela Heathfield or Liam Sarsfield if you have questions! ",Yes,90 - 115k,Fluorescent,Senior Developer,,,,,,,,,,90000,115000
1/4/2023 11:17:27,https://apply.workable.com/colony-networks/j/6FE35BE2B0/,Please get in touch with any questions,No,,Testing 123,Intermediate Backend Developer,test,,test,test,@jen,,,,,,
11/2/2022 17:20:32,https://www.canada.ca/en/treasury-board-secretariat/topics/information-technology-project-management/working-information-management-information-technology-government-canada/digital-careers-recruitment-campaign-senior-strategist-it.html,"Closing date: November 17, 2022

- 20 senior positions to fill with various language requirements, including both unilingual and bilingual positions.
-We are looking for candidates with skill sets across various disciplines such as solutions architecture, IT/cyber security, cloud, product management, enterprise architecture, digital identity, machine learning/AI/advanced analytics, and critical application development.
- pilot program will last for two (2) years, starting from the day successful candidates are hired
- applicants welcome from anywhere in Canada 
-  hiring process might be slow, esp if you need to do security clearance, but worthwhile if looking for a federal job in your field after the private sector. 
••••••
Join #GCDigital – come work for the Government of Canada to contribute to key digital priorities and improve the lives of people in Canada.

Are you a technical expert in the public or private sector?

Are you passionate about transforming government to better serve citizens and residents?

Do you want to work across federal departments to implement more agile, open and user-focused solutions to improve the lives of Canadians?

The Government of Canada IT Senior Strategist pilot program is designed to seek out top-level technical talent to support our mission to transform services across the federal government.

Become a technical expert with #GCDigital, be part of the solution and work across federal departments to enable delivery of government services for Canadians in a digital age.

You will have the opportunity to provide in-depth technical advice and guidance on significant transformation initiatives or a complex IT discipline on behalf of a department/agency, to ensure the effective digital delivery of services to internal and external clients and stakeholders. You will enhance your work experience by driving innovative, pathfinding technical solutions to realize service/system transformation and advance digital transformation projects in specialized areas of IT, such as:

-Benefit Delivery Modernization at Employment and Social Development Canada
-Digital Platform Modernization at Immigration, Refugees and Citizenship Canada
-NextGen HR and Pay at Shared Services Canada

>>> visit the link for details on qualifications



",Yes,"IT-05 Salary range: $115,754 to $150,842",Government  of Canada ,IT Senior Strategist - Recruitment campaign (20 positions open),,,,,,,,,,"115,754","150,842"
6/6/2022 16:04:35,https://www.linkedin.com/jobs/view/qa-automation-lead-at-bucketlist-rewards-and-recognition-3084302307?originalSubdomain=ca,Great opportunity for someone to help us establish QA in a rapidly growing team.,No,,Bucketlist Rewards,QA Automation Lead,,,,,,,,,,,
6/6/2022 15:53:34,https://button.is/careers,"Since 2018, Button has been building reliable technology for government with the goal of creating a more sustainable future through digital transformation. Our agile, multi-disciplinary team works on truly impactful technology projects – from emissions reporting for climate action to creating solutions for managing a global pandemic. We create secure, easy-to-use systems that maximize citizen impact.",No,,Button,Full Stack Developer (intermediate/senior),,,,,,,,,,,
3/29/2022 15:40:45,https://defined.breezy.hr/p/6ce37a824023-full-stack-developer,,Yes,"$140,000 - $160,000",Defined,Full-Stack Developer,,,,,,,,,,140000,160000
3/29/2022 15:39:55,https://defined.breezy.hr/p/0c433e147d94-data-scientist,,Yes,"$140,000 - $160,000",Defined,Data Scientist,,,,,,,,,,140000,160000
3/29/2022 15:39:11,https://defined.breezy.hr/p/d513f1e0c747-front-end-developer,"Defined is looking for experienced developers to join our team. We are remote friendly with the option to go into our downtown Victoria office. We offer 4 weeks vacation, team lunches (or a lunch budget if you’re remote), and other great perks listed in the job posting.",Yes,"$140,000 - $160,000",Defined,Front-End Developer ,,,,,,,,,,140000,160000
11/19/2021 14:25:51,https://workday.wd5.myworkdayjobs.com/Workday/job/Canada-BC-Victoria/Manager--Software-Development-Engineering--Media-Cloud_JR-60093,"Hi all, I'm Brian and work with the Media Cloud development teams at Workday, and I'm hiring a manager for an existing full-stack software development team. We work primarily on video products that support some some of the world's largest companies. If anything about Workday or this opportunity piques your interest I'd love to chat, you can reach me on the yyjtech slack (Brian Kifiak) or via email at brian.kifiak@workday.com. Thanks!",No,,Workday,"Manager, Software Development Engineering",,,,,,,,,,,
11/10/2021 6:17:52,https://agencyanalytics.com/company/careers#job-787562,,Yes,"$90,000 - $130,000 CAD",AgencyAnalytics,Backend Developer,,,,,,,,,,90000,130000
11/9/2021 10:58:49,https://www.benevity.com/job-postings?gh_jid=4179673004,"The Product Experience team is growing, and we have fantastic opportunities for a Lead UX Developer (or, if you prefer, Design Technologist or UI Engineer) on Skyline, our Design Systems team. We have a clear product vision for igniting new ways of inspiring daily goodness in the hands of clients, employees, customers and charitable causes. We need your help on that journey.

Benevity's clients are global brands that are part of your everyday life. They use the software we design and build to run their corporate goodness programs. Their goal is to attract, retain and engage today's diverse global workforce by connecting employees to millions of causes through our ecosystem. 

Benevity sees Design Systems as a crucial part of accelerating our next phase of growth. Building on the strong foundations of our existing component library, we're poised to evolve our system by being even more accessible and keeping our aesthetic modern and fresh. In addition, as we start to expand beyond ""atoms"" and ""molecules"" and into ""organisms,"" we are evolving our role to maintainers and supporters of the system so that other teams are empowered and excited to contribute to Benevity's shared design patterns.  

",No,,Benevity,"Lead UX Developer, Design Systems",,,,,,,,,,,
10/27/2021 16:03:12,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=1c0373e0-3c64-4588-9042-379c37c4510e&ccId=833619820_2174&jobId=408626&lang=en_US&source=CC4,"You'd be part of a small, but effective creative team adding value to client relations.
Location is in Los Angeles, but we have remote employees all over the US and Victoria, BC.",Yes,"$60,000 - $80,000",Causal iQ,"Creative Designer, Sr.",,,,,,,,,,60000,80000
4/20/2021 9:57:19,https://www.notion.so/Work-with-Inqli-5619814f2c1142b6af56ef01fae7f790,We are looking for junior through to senior level peeps. Hope you take a look!,Yes,$60K/year - $120K/year,Inqli,Software Developer,,,,,,,,,,60000,120000
4/6/2021 11:02:37,http://www.rfgsoftware.com/careers/,"Perks and Benefits:
MacBook and related peripherals included for business use.
Flexible remote work environment
Highly creative and interesting projects
Casual
Extended health care",No,,RFG Software Inc.,Senior UX/UI Designer,,,,,,,,,,,
